autor_articulo,href_articulo,imagen,medio,time,titulo_articulo,titulo_imagen
Ada Nuño,https://www.elconfidencial.com/alma-corazon-vida/2018-11-12/sabes-leer-correctamente-asi-es-como-lo-deberias-hacer_1642421/,https://www.ecestaticos.com/imagestatic/front/8d2/2fe/843/8d22fe843742dafaeeda064c6da48163.jpg?mtime=1542013900,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,"Hay dos formas de leer, y solemos utilizar la que es mucho menos eficaz","Hay dos formas de leer, y solemos utilizar la que es mucho menos eficaz"
A. Nuño,https://www.elconfidencial.com/alma-corazon-vida/2018-11-12/las-malas-posturas-no-son-lo-que-esta-haciendo-que-te-duela-la-espalda-segun-los-doctores_1642272/,https://www.ecestaticos.com/imagestatic/front/463/87c/176/46387c176950116bb67d12acf0ec9a0a.jpg?mtime=1541695263,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,¿Te duele la espalda? El problema no son solo las malas posturas ,¿Te duele la espalda? El problema no son solo las malas posturas 
Héctor G. Barnés,https://www.elconfidencial.com/alma-corazon-vida/2018-11-12/ganar-loteria-acertijos-mas-posibilidades_1604108/,https://www.ecestaticos.com/imagestatic/front/971/3af/751/9713af751539a15e1739e337f4417e21.jpg?mtime=1541695255,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,¿Quieres ganar la lotería? 3 acertijos que te ayudan a tener más posibilidades,¿Quieres ganar la lotería? 3 acertijos que te ayudan a tener más posibilidades
E. Zamorano,https://www.elconfidencial.com/alma-corazon-vida/2018-11-12/dormir-desnudo-razones-sueno-insomnio_1638715/,https://www.ecestaticos.com/imagestatic/front/92a/4bd/851/92a4bd8514a5cd4f2873650a51ddf5d1.jpg?mtime=1541696197,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Cinco razones por las que es mucho mejor dormir desnudo,Cinco razones por las que es mucho mejor dormir desnudo
EC Brands,https://www.elconfidencial.com/tecnologia/2018-11-11/smart-city-expo-world-congress-internet-of-things-iot-bra_1640588/,https://www.ecestaticos.com/imagestatic/front/d73/9aa/937/d739aa937f8cdfcf34229f63c67c4e8a.png?mtime=1541694528,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Esta tecnología puede acabar con los atascos de cada mañana,Esta tecnología puede acabar con los atascos de cada mañana
EC Brands,https://www.elconfidencial.com/alma-corazon-vida/2018-11-08/menores-beber-alcohol-campana-social-deporte-bra_1641244/,https://www.ecestaticos.com/imagestatic/front/f43/bee/f3d/f43beef3d062961b8085d1196c44496e.png?mtime=1541694738,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,"Menores que no beben alcohol, ¿moda o cambio de tendencia?","Menores que no beben alcohol, ¿moda o cambio de tendencia?"
EC Brands,https://www.elconfidencial.com/economia/2018-11-08/jubilacion-pensiones-encuesta-longevidad-bra_1641636/,https://www.ecestaticos.com/imagestatic/front/1f1/35a/532/1f135a5328d03a88deae125df9787882.png?mtime=1541695037,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Solo el 35% de los jubilados está contento con su pensión,Solo el 35% de los jubilados está contento con su pensión
EC,https://www.elconfidencial.com/multimedia/video/virales/2018-11-12/virales-avion-cielo-supendido_1642608/,https://www.ecestaticos.com/imagestatic/front/32b/416/757/32b4167572ef35e3d09ae8b8c48cbfdd.jpg?mtime=1541693330,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,¿Qué hace este avión parado en el cielo antes de aterrizar en Moscú?,¿Qué hace este avión parado en el cielo antes de aterrizar en Moscú?
EC,https://www.elconfidencial.com/multimedia/video/virales/2018-11-10/virales-habana-calculadora-camila-cabello_1642473/,https://www.ecestaticos.com/imagestatic/front/330/298/203/33029820355611e76a5a29418a953313.jpg?mtime=1541693509,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Así suena la canción de Habana de Camila con unas calculadoras,Así suena la canción de Habana de Camila con unas calculadoras
EC,https://www.elconfidencial.com/multimedia/video/virales/2018-11-11/virales-cocodrilos-zoo_1642584/,https://www.ecestaticos.com/imagestatic/front/731/cd7/22d/731cd722d3a5a3c758e33ea143086b78.jpg?mtime=1541693754,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Salta a un estanque con cocodrilos y lo que le espera no es muy bueno,Salta a un estanque con cocodrilos y lo que le espera no es muy bueno
Xabier Migelez,https://www.elconfidencial.com/television/programas-tv/2018-11-12/vox-abucheos-ana-pastor-antonio-garcia-ferreras_1643626/,https://www.ecestaticos.com/imagestatic/front/e7a/412/036/e7a41203654758615dcacbdf4b11019d.jpg?mtime=1542037537,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Vox pone en el punto de mira a Ana Pastor y a García Ferreras,Vox pone en el punto de mira a Ana Pastor y a García Ferreras
A. H. ,https://www.elconfidencial.com/television/programas-tv/2018-11-12/criticas-sandra-barneda-video-ghvip6-miriam-saavedra-hugo-castejon_1643400/,https://www.ecestaticos.com/imagestatic/front/446/945/fb2/446945fb2be0346f6c0995d23c2134ec.jpg?mtime=1542040493,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,"Barneda, criticada por su trato al defensor de Miriam","Barneda, criticada por su trato al defensor de Miriam"
C. Martínez,https://www.elconfidencial.com/television/2018-11-12/noemi-galera-bronca-concursantes-ot_1643903/,https://www.ecestaticos.com/imagestatic/front/2a1/554/6b1/2a15546b1332c0412315c818a85a22a6.jpg?mtime=1542049549,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Bronca de Noemí a los concursantes de OT 2018 ,Bronca de Noemí a los concursantes de OT 2018 
Berto Molina,https://www.elconfidencial.com/television/programas-tv/2018-11-12/ot2018-operacion-triunfo-habitacion-rebelan-huelga-sentada-concursantes-dormir_1643513/,https://www.ecestaticos.com/imagestatic/front/00e/5c2/21a/00e5c221ad2370fd3c39c3b2a1140be4.jpg?mtime=1542049602,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Los concursantes de OT 2018 se rebelan contra el programa,Los concursantes de OT 2018 se rebelan contra el programa
B. M.,https://www.elconfidencial.com/television/programas-tv/2018-11-12/rtve-rosa-maria-mateo-debate-actualidad-ugt-buenafuente-tve_1643777/,https://www.ecestaticos.com/imagestatic/front/1ab/c44/3d9/1abc443d97ebf1ffeecb9d225f72e6b0.jpg?mtime=1542040384,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,"Mateo, cuestionada por pedir un programa a Buenafuente","Mateo, cuestionada por pedir un programa a Buenafuente"
B. Molina,https://www.elconfidencial.com/television/programas-tv/2018-11-12/iker-jimenez-cuarto-milenio-periodismo-trabajo-despido-productor_1643647/,https://www.ecestaticos.com/imagestatic/front/00a/258/256/00a25825624ecd0ecf67e25a906f438a.jpg?mtime=1542025754,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,Los fantasmas de Iker: Me despedí de un programa,Los fantasmas de Iker: Me despedí de un programa
Gentleman,https://www.gentleman.elconfidencial.com/multimedia/album/reportajes/2018-11-12/bibliotecas-asombrosas-del-mundo_1278293/,https://www.ecestaticos.com/imagestatic/front/cda/51d/897/cda51d89714216af0ad026129a465c42.png?mtime=1541678812,El Confidencial - El diario de los lectores influyentes,2018-11-12T21:16:19.838826,una vuelta al mundo por las bibliotecas más asombrosas,una vuelta al mundo por las bibliotecas más asombrosas
